[2026-07-06 20:53:57] Memory extraction started: total_records=30 output_root=/home/bowenzheng/projects/DimMemTest-test/DimMem/results/memories/run_baseline
[2026-07-06 20:53:57] [record 1/30] question_id=knowledge-update/031748ae_abs | start | done=0 failed=0 skipped=0
[2026-07-06 20:53:57] [record 1/30] question_id=knowledge-update/031748ae_abs | windows=22 | start extraction
[2026-07-06 20:53:57] [record 1/30] question_id=knowledge-update/031748ae_abs | window 1/22 (window_index=0) | start
[2026-07-06 20:53:57] [record 1/30] question_id=knowledge-update/031748ae_abs | window 1/22 | attempt 1/5
[2026-07-06 20:54:33] [record 1/30] question_id=knowledge-update/031748ae_abs | window 1/22 | done ok=True memories=11 elapsed=35.37s
[2026-07-06 20:54:33] [record 1/30] question_id=knowledge-update/031748ae_abs | window 2/22 (window_index=1) | start
[2026-07-06 20:54:33] [record 1/30] question_id=knowledge-update/031748ae_abs | window 2/22 | attempt 1/5
[2026-07-06 20:54:51] [record 1/30] question_id=knowledge-update/031748ae_abs | window 2/22 | done ok=True memories=5 elapsed=18.45s
[2026-07-06 20:54:51] [record 1/30] question_id=knowledge-update/031748ae_abs | window 3/22 (window_index=2) | start
[2026-07-06 20:54:51] [record 1/30] question_id=knowledge-update/031748ae_abs | window 3/22 | attempt 1/5
[2026-07-06 20:55:15] [record 1/30] question_id=knowledge-update/031748ae_abs | window 3/22 | done ok=True memories=3 elapsed=24.23s
[2026-07-06 20:55:15] [record 1/30] question_id=knowledge-update/031748ae_abs | window 4/22 (window_index=3) | start
[2026-07-06 20:55:15] [record 1/30] question_id=knowledge-update/031748ae_abs | window 4/22 | attempt 1/5
[2026-07-06 20:55:52] [record 1/30] question_id=knowledge-update/031748ae_abs | window 4/22 | done ok=True memories=19 elapsed=36.55s
[2026-07-06 20:55:52] [record 1/30] question_id=knowledge-update/031748ae_abs | window 5/22 (window_index=4) | start
[2026-07-06 20:55:52] [record 1/30] question_id=knowledge-update/031748ae_abs | window 5/22 | attempt 1/5
[2026-07-06 20:56:10] [record 1/30] question_id=knowledge-update/031748ae_abs | window 5/22 | done ok=True memories=2 elapsed=17.81s
[2026-07-06 20:56:10] [record 1/30] question_id=knowledge-update/031748ae_abs | window 6/22 (window_index=5) | start
[2026-07-06 20:56:10] [record 1/30] question_id=knowledge-update/031748ae_abs | window 6/22 | attempt 1/5
[2026-07-06 20:57:07] [record 1/30] question_id=knowledge-update/031748ae_abs | window 6/22 | done ok=True memories=13 elapsed=57.02s
[2026-07-06 20:57:07] [record 1/30] question_id=knowledge-update/031748ae_abs | window 7/22 (window_index=6) | start
[2026-07-06 20:57:07] [record 1/30] question_id=knowledge-update/031748ae_abs | window 7/22 | attempt 1/5
[2026-07-06 20:57:29] [record 1/30] question_id=knowledge-update/031748ae_abs | window 7/22 | done ok=True memories=3 elapsed=21.99s
[2026-07-06 20:57:29] [record 1/30] question_id=knowledge-update/031748ae_abs | window 8/22 (window_index=7) | start
[2026-07-06 20:57:29] [record 1/30] question_id=knowledge-update/031748ae_abs | window 8/22 | attempt 1/5
[2026-07-06 20:58:00] [record 1/30] question_id=knowledge-update/031748ae_abs | window 8/22 | done ok=True memories=6 elapsed=31.04s
[2026-07-06 20:58:00] [record 1/30] question_id=knowledge-update/031748ae_abs | window 9/22 (window_index=8) | start
[2026-07-06 20:58:00] [record 1/30] question_id=knowledge-update/031748ae_abs | window 9/22 | attempt 1/5
[2026-07-06 20:58:41] [record 1/30] question_id=knowledge-update/031748ae_abs | window 9/22 | done ok=True memories=10 elapsed=41.52s
[2026-07-06 20:58:41] [record 1/30] question_id=knowledge-update/031748ae_abs | window 10/22 (window_index=9) | start
[2026-07-06 20:58:41] [record 1/30] question_id=knowledge-update/031748ae_abs | window 10/22 | attempt 1/5
[2026-07-06 20:59:34] [record 1/30] question_id=knowledge-update/031748ae_abs | window 10/22 | done ok=True memories=14 elapsed=52.41s
[2026-07-06 20:59:34] [record 1/30] question_id=knowledge-update/031748ae_abs | window 11/22 (window_index=10) | start
[2026-07-06 20:59:34] [record 1/30] question_id=knowledge-update/031748ae_abs | window 11/22 | attempt 1/5
[2026-07-06 21:00:08] [record 1/30] question_id=knowledge-update/031748ae_abs | window 11/22 | done ok=True memories=6 elapsed=34.75s
[2026-07-06 21:00:08] [record 1/30] question_id=knowledge-update/031748ae_abs | window 12/22 (window_index=11) | start
[2026-07-06 21:00:08] [record 1/30] question_id=knowledge-update/031748ae_abs | window 12/22 | attempt 1/5
[2026-07-06 21:00:40] [record 1/30] question_id=knowledge-update/031748ae_abs | window 12/22 | done ok=True memories=8 elapsed=31.21s
[2026-07-06 21:00:40] [record 1/30] question_id=knowledge-update/031748ae_abs | window 13/22 (window_index=12) | start
[2026-07-06 21:00:40] [record 1/30] question_id=knowledge-update/031748ae_abs | window 13/22 | attempt 1/5
[2026-07-06 21:01:14] [record 1/30] question_id=knowledge-update/031748ae_abs | window 13/22 | done ok=True memories=4 elapsed=34.48s
[2026-07-06 21:01:14] [record 1/30] question_id=knowledge-update/031748ae_abs | window 14/22 (window_index=13) | start
[2026-07-06 21:01:14] [record 1/30] question_id=knowledge-update/031748ae_abs | window 14/22 | attempt 1/5
[2026-07-06 21:01:54] [record 1/30] question_id=knowledge-update/031748ae_abs | window 14/22 | done ok=True memories=10 elapsed=40.14s
